t,mark,rider,speed_kmh,accel_ms2,lat_accel_ms2,yaw_rate_rads,heading_deg,pitch_deg,roll_deg,lean_deg,slip_deg,throttle_in,steer_in,steer_deg,steer_limit_deg,surface_front,surface_rear,contact_f,contact_r,dist_along_m,off_centre_m,corner_radius_m,nitro,x,y,z,track
0.1,,riding,-0.7,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.1,2.50,straight,0,-2.50,1.57,10.98,Hillclimb
0.2,,riding,-0.6,0.07,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.56,10.97,Hillclimb
0.3,,riding,0.8,3.91,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.56,10.97,Hillclimb
0.4,,riding,4.1,9.14,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,road,road,1,1,11.1,2.50,straight,0,-2.50,1.56,11.06,Hillclimb
0.5,,riding,7.4,9.36,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,road,road,1,1,11.3,2.50,straight,0,-2.50,1.56,11.24,Hillclimb
0.6,,riding,10.8,9.31,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.3,road,road,1,1,11.5,2.50,straight,0,-2.50,1.58,11.52,Hillclimb
0.7,,riding,14.1,9.23,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.4,road,road,1,1,11.9,2.50,straight,0,-2.50,1.60,11.89,Hillclimb
0.8,,riding,17.4,9.15,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.7,road,road,1,1,12.3,2.50,straight,0,-2.50,1.62,12.35,Hillclimb
0.9,,riding,20.6,9.05,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.1,road,road,1,1,12.9,2.50,straight,0,-2.50,1.65,12.90,Hillclimb
1.0,,riding,23.9,8.94,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.2,road,road,1,1,13.5,2.50,straight,0,-2.50,1.68,13.54,Hillclimb
1.1,,riding,27.0,8.83,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.8,road,road,1,1,14.2,2.50,straight,0,-2.50,1.72,14.27,Hillclimb
1.2,,riding,30.2,8.70,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.6,road,road,1,1,15.0,2.50,straight,0,-2.50,1.77,15.08,Hillclimb
1.3,,riding,33.3,8.57,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.7,road,road,1,1,15.9,2.50,straight,0,-2.50,1.82,15.99,Hillclimb
1.4,,riding,36.3,8.43,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,road,road,1,1,16.9,2.50,straight,0,-2.50,1.87,16.97,Hillclimb
1.5,,riding,39.3,8.29,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.4,road,road,1,1,17.9,2.50,straight,0,-2.50,1.92,18.04,Hillclimb
1.6,,riding,42.2,8.14,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.9,road,road,1,1,19.1,2.50,straight,0,-2.50,1.99,19.19,Hillclimb
1.7,,riding,45.1,7.98,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.4,road,road,1,1,20.3,2.50,straight,0,-2.50,2.05,20.43,Hillclimb
1.8,,riding,47.9,7.82,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.1,road,road,1,1,21.6,2.50,straight,0,-2.50,2.12,21.74,Hillclimb
1.9,,riding,50.6,7.65,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.7,road,road,1,1,23.0,2.50,straight,0,-2.50,2.20,23.12,Hillclimb
2.0,,riding,53.3,7.48,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4,road,road,1,1,24.4,2.50,straight,0,-2.50,2.27,24.59,Hillclimb
2.1,,riding,56.0,7.31,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2,road,road,1,1,26.0,2.50,straight,0,-2.50,2.36,26.12,Hillclimb
2.2,,riding,58.5,7.13,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.9,road,road,1,1,27.5,2.50,straight,0,-2.50,2.44,27.73,Hillclimb
2.3,,riding,61.0,6.96,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,road,road,1,1,29.2,2.50,straight,0,-2.50,2.53,29.41,Hillclimb
2.4,,riding,63.5,6.78,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.2,road,road,1,1,31.0,2.50,straight,0,-2.50,2.62,31.15,Hillclimb
2.5,,riding,65.9,6.60,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.9,road,road,1,1,32.8,2.50,straight,0,-2.50,2.72,32.96,Hillclimb
2.6,,riding,68.2,6.41,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6,road,road,1,1,34.6,2.50,straight,0,-2.50,2.82,34.84,Hillclimb
2.7,,riding,70.4,6.23,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.4,road,road,1,1,36.6,2.50,straight,0,-2.50,2.92,36.78,Hillclimb
2.8,,riding,72.6,6.05,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2,road,road,1,1,38.5,2.50,straight,0,-2.50,3.03,38.78,Hillclimb
2.9,,riding,74.7,5.87,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,road,road,1,1,40.6,2.50,straight,0,-2.50,3.14,40.84,Hillclimb
3.0,,riding,76.8,5.69,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8,road,road,1,1,42.7,2.50,straight,0,-2.50,3.25,42.96,Hillclimb
3.1,,riding,78.7,5.52,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7,road,road,1,1,44.9,2.50,straight,0,-2.50,3.37,45.13,Hillclimb
3.2,,riding,80.7,5.34,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,road,road,1,1,47.1,2.50,straight,0,-2.50,3.49,47.35,Hillclimb
3.3,,riding,82.5,5.17,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,road,road,1,1,49.4,2.50,straight,0,-2.50,3.61,49.63,Hillclimb
