t,mark,rider,speed_kmh,accel_ms2,lat_accel_ms2,yaw_rate_rads,heading_deg,pitch_deg,roll_deg,lean_deg,slip_deg,throttle_in,steer_in,steer_deg,steer_limit_deg,surface_front,surface_rear,contact_f,contact_r,dist_along_m,off_centre_m,corner_radius_m,nitro,x,y,z
0.1,,riding,-1.0,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.39,10.99
0.2,,riding,-1.0,0.12,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.37,10.98
0.3,,riding,-0.7,0.77,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.35,10.97
0.4,,riding,-0.6,0.30,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.35,10.96
0.5,,riding,-0.7,-0.28,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.36,10.94
0.6,,riding,-0.8,-0.39,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.36,10.92
0.7,,riding,-1.0,-0.40,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,10.9,2.50,straight,0,-2.50,1.36,10.89
0.8,,riding,-1.1,-0.42,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,10.9,2.50,straight,0,-2.50,1.36,10.86
0.9,,riding,-0.3,2.43,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,road,road,1,1,10.9,2.50,straight,0,-2.50,1.36,10.85
1.0,,riding,3.4,10.17,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,road,road,1,1,10.9,2.50,straight,0,-2.50,1.36,10.92
