t,mark,rider,speed_kmh,accel_ms2,lat_accel_ms2,yaw_rate_rads,heading_deg,pitch_deg,roll_deg,lean_deg,slip_deg,throttle_in,steer_in,steer_deg,steer_limit_deg,surface_front,surface_rear,contact_f,contact_r,dist_along_m,off_centre_m,corner_radius_m,nitro,x,y,z
0.1,,riding,-1.0,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.39,10.99
0.2,,riding,-1.0,0.12,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.37,10.98
0.3,,riding,-0.7,0.77,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.35,10.97
0.4,,riding,-0.6,0.30,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.35,10.96
0.5,,riding,1.7,6.38,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,road,road,1,1,11.0,2.50,straight,0,-2.50,1.36,10.98
0.6,,riding,5.1,9.55,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,road,road,1,1,11.1,2.50,straight,0,-2.50,1.37,11.10
0.7,,riding,8.5,9.49,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,road,road,1,1,11.3,2.50,straight,0,-2.50,1.38,11.32
0.8,,riding,11.9,9.41,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.9,road,road,1,1,11.6,2.50,straight,0,-2.50,1.39,11.62
0.9,,riding,15.3,9.32,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.9,road,road,1,1,12.0,2.50,straight,0,-2.50,1.41,12.02
1.0,,riding,18.6,9.23,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.6,road,road,1,1,12.5,2.50,straight,0,-2.50,1.43,12.52
